1,2,7,89.2139,81.4089,89.2139,81.4089,81.4082,81.4095,81.4095
1,2,8,89.2139,74.8468,89.2139,74.8468,74.8464,74.8472,74.8472
1,2,9,89.2139,70.9481,89.2139,70.9481,70.9479,70.9483,70.9483
1,2,10,89.2139,68.5953,89.2139,68.5953,68.5952,68.5953,68.5953
1,3,12,170.026,169.324,170.026,169.324,169.324,169.324,169.324
1,3,13,170.026,157.983,170.026,157.983,157.982,157.983,157.983
1,3,14,170.026,149.718,170.026,149.718,149.717,149.718,149.718
1,3,15,170.026,143.5,170.026,143.5,143.5,143.5,143.5
1,3,16,170.026,138.763,170.026,138.763,138.763,138.763,138.763
1,3,17,170.026,135.137,170.026,135.137,135.137,135.137,135.137
1,3,18,170.026,132.362,170.026,132.362,132.362,132.362,132.362
1,3,19,170.026,130.215,170.026,130.215,130.215,130.215,130.215
1,4,18,248.411,242.605,248.411,242.605,242.605,242.606,242.606
1,4,19,248.411,231.674,248.411,231.674,231.674,231.675,231.675
1,4,20,248.411,222.947,248.411,222.947,222.946,222.947,222.947
1,4,21,248.411,215.791,248.411,215.791,215.791,215.791,215.791
1,4,22,248.411,209.873,248.411,209.873,209.872,209.873,209.873
1,4,23,248.411,204.96,248.411,204.96,204.96,204.96,204.96
1,4,24,248.411,200.87,248.411,200.87,200.869,200.87,200.87
1,4,25,248.411,197.459,248.411,197.459,197.459,197.459,197.459
1,4,26,248.411,194.617,248.411,194.617,194.617,194.617,194.617
1,4,27,248.411,192.243,248.411,192.243,192.243,192.243,192.243
1,7,9,112.601,109.014,107.356,0,107.136,107.137,107.137
1,7,10,112.601,100.574,107.356,99.2273,98.4769,98.4771,98.4771
1,7,11,112.601,95.2794,107.356,93.5901,93.2449,93.2468,93.2468
1,7,12,112.601,91.744,107.356,90.0596,89.8801,89.8802,89.8802
1,7,13,112.601,89.37,107.356,87.7692,87.6526,87.6528,87.6528
1,7,14,112.601,88.3707,107.356,86.6967,86.7687,86.7687,86.7687
1,9,21,273.436,266.111,269.89,264.874,264.873,264.874,264.874
1,9,22,273.436,255.409,269.89,253.744,253.64,253.641,253.641
1,9,23,273.436,246.779,269.89,244.858,244.793,244.793,244.793
1,9,24,273.436,239.664,269.89,237.6,237.565,237.565,237.565
1,9,25,273.436,233.731,269.89,231.597,231.586,231.586,231.586
1,9,26,273.436,228.762,269.89,226.602,226.606,226.611,226.611
1,9,27,273.436,224.578,269.89,222.422,222.422,222.422,222.422
1,9,28,273.436,221.042,269.89,218.914,218.914,218.914,218.914
1,9,29,273.436,218.05,269.89,215.964,215.907,215.908,215.908
1,9,30,273.436,215.517,269.89,213.479,213.418,213.418,213.418
1,10,23,307.373,297.501,304.729,296.657,296.842,296.843,296.843
1,10,24,307.373,286.795,304.729,285.68,285.68,285.681,285.681
1,10,25,307.373,277.885,304.729,276.596,276.595,276.596,276.596
1,10,26,307.373,270.332,304.729,268.945,268.945,268.945,268.945
1,10,27,307.373,263.892,304.729,262.458,262.458,262.459,262.459
1,10,28,307.373,258.383,304.729,256.932,256.932,256.932,256.932
