src, des, distance, speed_min, speed_max, time_min, time_max, grade, grade_key, label
789,793,3.1505,30.5669,31.25,0.100816,0.103069,0.062228,0,I-4L:I-4L:I-4L:I-4L
789,18715,0.536958,41.5951,67.8,0.00791973,0.0129092,-0.123891,0,I-275R
789,18716,0.539227,29,29,0.018594,0.018594,0.467855,5,I-275L
793,789,3.1505,41.5951,67.8,0.0464675,0.0757421,-0.062228,0,I-4R:I-4R:I-4R:I-4R
793,796,2.98752,35.5763,44.25,0.0675145,0.0839748,-0.0489471,0,I-4L:I-4L:I-4L
793,43987,1.09261,30,70,0.0156088,0.0364205,-0.526456,-5,US41R
793,43989,0.969988,31.4286,33,0.0293936,0.0308632,-0.0310628,0,US41L:US41L
796,793,2.98752,41.5951,67.8,0.0440637,0.0718238,0.0489471,0,I-4R:I-4R:I-4R
796,797,0.410875,36,45,0.00913055,0.0114132,-0.189085,0,I-4,US92L
796,43991,3.03712,41.5951,67.8,0.0447953,0.0730163,0.141391,0,US92R:US92R
797,796,0.410875,41.5951,67.8,0.0060601,0.00987796,0.189085,0,I-4,US92R
797,798,0.53346,36.9231,48,0.0111138,0.0144479,-0.107056,0,I-4,US92L
797,75415,1.00088,41.5951,67.8,0.0147623,0.0240625,0.0178204,0,US301R:US301R
797,75417,2.63707,34.2857,40,0.0659269,0.0769147,0.00573051,0,US301L
798,797,0.53346,41.5951,67.8,0.00786815,0.0128251,0.107056,0,I-4,US92R
798,799,1.39912,40,60,0.0233186,0.0349779,0.0966578,0,I-4L
798,62935,0.839115,39.5455,58,0.0144675,0.021219,0.827985,5,US92L
799,798,1.39912,41.5951,67.8,0.0206359,0.0336366,-0.0966578,0,I-4R
799,800,1.53044,36.6234,47,0.0325625,0.0417885,0.461171,5,I-4L
799,10751,4.17353,41.5951,67.8,0.0615565,0.100337,0.0680607,0,I-75R:I-75R
799,10760,12.6107,37.955,52.125,0.241931,0.332253,0.0361839,0,I-75L:I-75L:I-75L:I-75L:I-75L:I-75L:I-75L:I-75L
800,799,1.53044,30,70,0.0218634,0.0510146,-0.461171,-5,I-4R
800,810,18.198,37.0614,48.5938,0.374493,0.491024,0.0654455,0,I-4L:I-4L:I-4L:I-4L:I-4L:I-4L:I-4L:I-4L:I-4L:I-4L
810,800,18.198,41.5951,67.8,0.268408,0.437504,-0.0654455,0,I-4R:I-4R:I-4R:I-4R:I-4R:I-4R:I-4R:I-4R:I-4R:I-4R
810,811,2.23717,35,42,0.053266,0.0639192,0.67053,5,I-4L
811,810,2.23717,30,70,0.0319596,0.0745724,-0.67053,-5,I-4R
811,812,1.33193,35.3425,43,0.0309752,0.0376864,-0.372379,0,I-4L
812,811,1.33193,41.5951,67.8,0.019645,0.0320214,0.372379,0,I-4R
812,813,1.93333,30,40,0.0483332,0.0644443,-0.451283,-5,I-4L
812,64295,14.5093,41.5951,67.8,0.214002,0.348823,-0.119185,0,US98R:US98R:US98R
812,64298,1.07796,30,38,0.0283673,0.0359319,-0.519836,-5,US98L
813,812,1.93333,40.0443,60.2,0.0321151,0.0482797,0.451283,5,I-4R
813,819,20.5963,38.3434,53.375,0.385879,0.537154,0.00901773,0,I-4L:I-4L:I-4L:I-4L:I-4L:I-4L
819,813,20.5963,41.5951,67.8,0.30378,0.495162,-0.00901773,0,I-4R:I-4R:I-4R:I-4R:I-4R:I-4R
819,824,9.40855,39.0384,56,0.16801,0.241008,0.000950484,0,I-4L:I-4L:I-4L:I-4L:I-4L
819,34131,8.80323,41.5951,67.8,0.129841,0.211641,-0.0519527,0,US27R:US27R:US27R
819,39164,6.24301,36.1672,46,0.135718,0.172615,0.155161,0,US27L:US27L
824,819,9.40855,41.5951,67.8,0.138769,0.226194,-0.000950484,0,I-4R:I-4R:I-4R:I-4R:I-4R
824,831,10.4933,34.8998,42.1875,0.24873,0.300669,-0.167117,0,I-4L:I-4L:I-4L:I-4L:I-4L:I-4L:I-4L
824,69985,2.56159,41.5951,67.8,0.0377816,0.061584,0.15411,0,US192R:US192R
824,69990,4.2601,34.9098,42.25,0.100831,0.122031,-0.00289855,0,US192L:US192L:US192L:US192L
831,824,10.4933,41.5951,67.8,0.154768,0.252273,0.167117,0,I-4R:I-4R:I-4R:I-4R:I-4R:I-4R:I-4R
831,832,0.359622,30,37,0.00971952,0.0119874,-0.577456,-5,I-4L
832,831,0.359622,40.0443,60.2,0.00597379,0.0089806,0.577456,5,I-4R
832,837,5.39757,32.1116,34.625,0.155887,0.168088,0.0454348,0,I-4L:I-4L:I-4L:I-4L:I-4L
837,832,5.39757,41.5951,67.8,0.0796102,0.129765,-0.0454348,0,I-4R:I-4R:I-4R:I-4R:I-4R
