network with nodes 84504, edges 178238, n_valid_edges 177830, avg_distance 2.06769, avg_speed_min 32.3529, avg_speed_max 57.8757, avg_abs_grade 0.690349
id,lat,lon,ele,label
115,62.4186,-144.987,523.54,I-A1@+X954953
116,62.4312,-144.964,534.87,I-A1@+X334184
117,62.436,-144.924,581.06,I-A1@+X623954
118,62.4537,-144.893,583.03,I-A1@+X431949
119,62.4616,-144.865,528.52,I-A1@+X293733
120,62.4887,-144.823,547.34,I-A1@+X26
121,62.5321,-144.794,550.05,I-A1@+X420047
122,62.5506,-144.761,552.35,I-A1@+X651636
123,62.5576,-144.696,560.63,I-A1@ChuRd
124,62.5632,-144.668,566.63,I-A1@VilRd
125,62.5981,-144.646,589.33,I-A1@ChiRivTr
126,62.632,-144.563,602.91,I-A1@GraPitRd
127,62.6606,-144.459,602.98,I-A1@+X912149
128,62.6712,-144.41,633.17,I-A1@CopRivAcc
129,62.7043,-144.379,699.14,I-A1@+X27
130,62.7168,-144.258,786.86,I-A1@+X299464
131,62.7139,-144.186,770.16,I-A1@+X255346
132,62.7178,-144.058,772.04,I-A1@CobbLakeTr
133,62.7132,-143.989,682.03,I-A1@NabRd
134,62.7259,-143.925,738.21,I-A1@+X284575
135,62.7263,-143.868,671.75,I-A1@PorCrkSRS
136,62.7402,-143.815,674.19,I-A1@+X586789
137,62.794,-143.768,687.37,I-A1@+X882178
138,62.8253,-143.703,695.03,I-A1@GolNorDr
139,62.8493,-143.707,700.63,I-A1@+X608468
140,62.8631,-143.673,671.49,I-A1@+X106602
141,62.88,-143.679,675.89,I-A1@+X926524
142,62.892,-143.68,686.82,I-A1@+X956614
143,62.9245,-143.644,694.95,I-A1@+X368685
144,62.9262,-143.633,699.02,I-A1@MenLakeRd
145,62.9342,-143.427,673.79,I-A1@+X274981
146,62.9551,-143.369,664.16,I-A1@WilCamRd
147,62.9602,-143.354,644.63,I-A1@+X904339
148,62.9674,-143.351,641.3,I-A1@91MileLp
149,62.9892,-143.356,648.65,I-A1@+X427436
