id,lat,lon,ele,label
783,18.2173,-65.7396,32.983,I-PR3@18(53)&PR53@18
784,18.2161,-65.7618,11.319,I-PR3@20(53)&PR53@20
787,18.1439,-65.8033,10.215,I-PR3@31(53)&PR53@31
788,18.1251,-65.8172,25.657,I-PR3@33(53)&PR53@33
789,27.9646,-82.4526,9.895,I-4@I-275&I-275@45B
793,27.968,-82.4017,11.402,I-4@3A&US41@I-4
796,27.996,-82.3644,8.4965,I-4@7A/US92
797,27.9958,-82.3576,7.2462,I-4@7&US92@US301&US301@US92
798,27.996,-82.3489,6.3271,I-4@7B/US92
799,28.0021,-82.3271,8.5035,I-4@9&I-75@261
800,28.0061,-82.3025,19.862,I-4@10
810,28.052,-82.015,40.969,I-4@28
811,28.0728,-81.9869,65.11,I-4@31
812,28.0852,-81.9702,57.128,I-4@32&US98@I-4
813,28.104,-81.9467,43.087,I-4@33
819,28.2325,-81.6499,48.199,I-4@55&US27@I-4
824,28.3326,-81.5454,27.164,I-4@64&US192@I-4
831,28.4624,-81.4691,34.585,I-4@74B
832,28.4659,-81.4647,31.243,I-4@75A
837,28.5107,-81.397,32.115,I-4@80/US17/US92/US441
844,28.5494,-81.3826,31.999,I-4@83A
845,28.5531,-81.3824,28.177,I-4@83B/US17/US92
846,28.5599,-81.3801,24,I-4@84
847,28.5713,-81.3758,30.482,I-4@85
851,28.6059,-81.3865,29.726,I-4@88/US17TrkOrl/US92TrkOrl
852,28.6309,-81.3876,28.792,I-4@90/US17TrkOrl/US92TrkOrl
857,28.7962,-81.3455,21.635,I-4@101B
858,28.8113,-81.3379,10.338,I-4@101C
860,28.8329,-81.3219,2.8645,I-4@104/US17/US92
868,29.1554,-81.0757,9.1266,I-4@132&I-95@260
2267,30.4968,-99.9811,576.79,I-10@442A
2271,30.508,-99.7746,525.99,I-10@456/US83/US377
2272,30.4924,-99.7489,519.03,I-10@457/US83
2273,30.4638,-99.7293,619.23,I-10@460/US83
2274,30.439,-99.7131,611.75,I-10@462/US83
2275,30.4186,-99.6714,537.42,I-10@465
2276,30.3889,-99.616,645.11,I-10@+467
2277,30.3516,-99.5921,622.16,I-10@472
2278,30.2998,-99.5442,652.01,I-10@476
2279,30.2931,-99.5313,664.2,I-10@477&US290@I-10
2280,30.2411,-99.4355,670.69,I-10@484
2281,30.2069,-99.3851,636.4,I-10@488
2283,30.1863,-99.3181,624.1,I-10@492
2284,30.1159,-99.1995,539.13,I-10@501
2287,30.0028,-98.9441,472.99,I-10@520
2288,29.98,-98.9034,451.51,I-10@523&US87@I-10(523)&US87BusCom@US87_N
2289,29.9605,-98.8882,431.86,I-10@524&US87@I-10(524)&US87BusCom@US87_S
2290,29.9351,-98.8655,458.53,I-10@527/US87
2292,29.8198,-98.7549,451.01,I-10@537&US87@I-10(537)&US87BusBoe@US87_N
2293,29.8133,-98.7536,447.09,I-10@538/US87
2296,29.7669,-98.7189,444.69,I-10@542&US87@I-10(542)&US87BusBoe@US87_S
2297,29.7541,-98.7042,432.9,I-10@543/US87
2298,29.7193,-98.6656,428.21,I-10@546/US87
2299,29.6762,-98.6357,354.14,I-10@550/US87
2300,29.6666,-98.6316,348.62,I-10@551
