src, des, distance, speed_min, speed_max, time_min, time_max, grade, grade_key, label
2538,83173,2.02051,28,28,0.072161,0.072161,-0.0893651,0,US90BusLakL:US90BusLakL
2539,2538,0.825977,41.5951,67.8,0.0121825,0.0198576,-0.206474,0,I-10,US90R
2539,2540,0.486845,30,41,0.0118743,0.0162282,-0.531457,-5,I-10L
2539,62500,0.625826,30,42,0.0149006,0.0208609,-0.464992,-5,US90L
2540,2539,0.486845,40.0443,60.2,0.00808712,0.0121576,0.531457,5,I-10R
2540,2541,0.40971,35.3425,43,0.00952815,0.0115926,0.275054,0,I-10L
2541,2540,0.40971,41.5951,67.8,0.00604293,0.00984997,-0.275054,0,I-10R
2541,2542,1.1335,38.3133,53,0.0213868,0.0295851,0.00783363,0,I-10L
2541,62500,0.80776,41.5951,67.8,0.0119139,0.0194196,-0.17507,0,US171R:US171R
2541,68385,19.1211,38.1189,52.375,0.365081,0.501617,0.0759163,0,US171L:US171L:US171L:US171L:US171L
2542,2541,1.1335,41.5951,67.8,0.0167183,0.0272508,-0.00783363,0,I-10R
2542,2545,10.6568,40.5794,62.75,0.169829,0.262615,0.0147845,0,I-10L:I-10L:I-10L
2542,18271,0.752298,41.5951,67.8,0.0110958,0.0180862,-0.197381,0,I-210R
2545,2542,10.6568,41.5951,67.8,0.157179,0.256202,-0.0147845,0,I-10R:I-10R:I-10R
2545,2560,58.2404,37.0964,49.1414,1.18516,1.56998,-0.038083,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2545,62505,1.49586,41.5951,67.8,0.0220629,0.0359625,-0.0186524,0,US165R:US165R
2545,67668,18.1974,37.2283,50.25,0.362138,0.488807,0.0455938,0,US165L:US165L:US165L:US165L
2560,2545,58.2404,41.5951,67.8,0.859004,1.40018,0.038083,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2560,2571,51.5943,33.0018,40.4406,1.2758,1.56338,0.0284868,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2560,7769,19.3755,38.5762,55.1125,0.351563,0.502265,0.0472006,0,I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L:I-49,US167L
2560,62538,1.84415,41.5951,67.8,0.0271999,0.0443358,-0.0189121,0,US167R:US167R
2571,2560,51.5943,41.5951,67.8,0.760978,1.24039,-0.0284868,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2571,2573,0.867165,26.5,26.5,0.0327232,0.0327232,0.504732,5,I-10L:I-10L
2573,2571,0.867165,30,70,0.0123881,0.0289055,-0.504732,-5,I-10R:I-10R
2573,2574,0.250186,28,28,0.00893521,0.00893521,-0.209372,0,I-10L
2574,2573,0.250186,41.5951,67.8,0.00369006,0.00601479,0.209372,0,I-10R
2574,2575,0.450725,26,26,0.0173356,0.0173356,-0.622591,-5,I-10L
2575,2574,0.450725,40.0443,60.2,0.00748713,0.0112557,0.622591,5,I-10R
2575,2589,30.5593,36.8749,48.1953,0.634072,0.828729,-0.0192152,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2589,2575,30.5593,41.5951,67.8,0.450727,0.734685,0.0192152,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2589,2592,22.3588,39.0669,56,0.399265,0.572321,-0.00119047,0,I-10L:I-10L:I-10L
2589,51276,9.34284,41.5951,67.8,0.1378,0.224614,0.000143283,0,US61R:US61R
2589,51293,22.75,31.4903,33.457,0.679977,0.722445,0.101175,0,US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L:US61L
2592,2589,22.3588,41.5951,67.8,0.329776,0.537536,0.00119047,0,I-10R:I-10R:I-10R
2592,2599,15.7167,33.4828,38.8125,0.404939,0.469397,-0.0241669,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2592,7911,0.376521,38.5714,54,0.00697262,0.00976166,-0.0550375,0,US51L
2592,47353,2.90541,41.5951,67.8,0.0428527,0.0698498,0.0481644,0,US51R:US51R
2599,2592,15.7167,41.5951,67.8,0.23181,0.37785,0.0241669,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2614,2616,1.47943,28.5,28.5,0.0519097,0.0519097,-0.00739169,0,I-10L:I-10L
2616,2614,1.47943,41.5951,67.8,0.0218205,0.0355674,0.00739169,0,I-10R:I-10R
